Date,ArrivalsActualCounts,DeparturesActualCounts
1921M01,4049,1410
1921M02,3468,1858
1921M03,4558,3129
1921M04,4259,4041
1921M05,2892,3319
1921M06,1986,2920
1921M07,3419,2021
1921M08,3044,1923
1921M09,2759,1997
1921M10,4088,1975
